班次1 班次2 班次3 班次4 班次5
06:30 07:50 09:10 10:30 12:00
06:32 07:52 09:12 10:32 12:02
06:33 07:53 09:13 10:33 12:03
06:34 07:55 09:15 10:35 12:05
06:36 07:57 09:17 10:37 12:07
06:38 07:59 09:19 10:39 12:09
06:39 08:01 09:21 10:41 12:11
06:41 08:03 09:23 10:43 12:13
06:42 08:04 09:24 10:44 12:14
06:43 08:05 09:25 10:45 12:15
06:44 08:06 09:26 10:46 12:16
06:45 08:07 09:27 10:47 12:17
06:46 08:08 09:28 10:48 12:18
06:47 08:09 09:29 10:49 12:19
06:48 08:10 09:30 10:50 12:20
06:49 08:11 09:31 10:51 12:21
06:50 08:12 09:32 10:52 12:22
06:51 08:13 09:33 10:53 12:23
06:53 08:15 09:35 10:55 12:25
06:55 08:17 09:37 10:57 12:27
06:57 08:19 09:39 10:59 12:29
06:58 08:21 09:41 11:01 12:31
07:00 08:23 09:43 11:03 12:33
07:01 08:24 09:44 11:04 12:34
07:03 08:26 09:46 11:06 12:36
07:05 08:28 09:48 11:08 12:38
07:07 08:30 09:50 11:10 12:40
07:09 08:32 09:52 11:12 12:42
07:10 08:33 09:53 11:13 12:43
07:12 08:35 09:55 11:15 12:45
07:14 08:37 09:57 11:17 12:47
07:16 08:39 09:59 11:19 12:49
07:18 08:41 10:01 11:21 12:51
07:20 08:43 10:03 11:23 12:53
07:21 08:45 10:05 11:25 12:55
07:23 08:47 10:07 11:27 12:57
07:24 08:49 10:09 11:29 12:59
07:25 08:50 10:10 11:30 13:00
07:00 08:50 10:10 11:30 13:00
07:02 08:52 10:12 11:32 13:02
07:03 08:53 10:13 11:33 13:03
07:04 08:55 10:15 11:35 13:05
07:06 08:57 10:17 11:37 13:07
07:08 08:59 10:19 11:39 13:09
07:09 09:01 10:21 11:41 13:11
07:11 09:03 10:23 11:43 13:13
07:12 09:04 10:24 11:44 13:14
07:13 09:05 10:25 11:45 13:15
07:14 09:06 10:26 11:46 13:16
07:15 09:07 10:27 11:47 13:17
07:16 09:08 10:28 11:48 13:18
07:17 09:09 10:29 11:49 13:19
07:18 09:10 10:30 11:50 13:20
07:19 09:11 10:31 11:51 13:21
07:20 09:12 10:32 11:52 13:22
07:21 09:13 10:33 11:53 13:23
07:23 09:15 10:35 11:55 13:25
07:25 09:17 10:37 11:57 13:27
07:27 09:19 10:39 11:59 13:29
07:28 09:21 10:41 12:01 13:31
07:30 09:23 10:43 12:03 13:33
07:31 09:24 10:44 12:04 13:34
07:33 09:26 10:46 12:06 13:36
07:35 09:28 10:48 12:08 13:38
07:37 09:30 10:50 12:10 13:40
07:39 09:32 10:52 12:12 13:42
07:40 09:33 10:53 12:13 13:43
07:42 09:35 10:55 12:15 13:45
07:44 09:37 10:57 12:17 13:47
07:46 09:39 10:59 12:19 13:49
07:48 09:41 11:01 12:21 13:51
07:49 09:43 11:03 12:23 13:53
07:51 09:45 11:05 12:25 13:55
07:53 09:47 11:07 12:27 13:57
07:54 09:49 11:09 12:29 13:59
07:55 09:50 11:10 12:30 14:00
